,name,rating,genre,year,released,score,votes,director,writer,star,budget,gross,company,runtime,released_month,adjusted_budget,adjusted_gross,weekday,actor,bday,nominations,awards_won,star_age
2587,Chicago,PG-13,Comedy,2002,2003-01-24,7.2,220000.0,Other,Other,Other,45000000.0,306776732.0,Other,113.0,1,67780155.6420234,462074992.051362,Friday,Renée Zellweger,1969-04-25,4.0,2.0,12327
2588,A Walk to Remember,PG,Drama,2002,2002-01-25,7.3,203000.0,Other,Other,Other,11800000.0,47494916.0,Warner Bros.,101.0,1,17773463.0350195,71538062.1929961,Friday,Mandy Moore,1984-04-10,0.0,0.0,6499
2589,Treasure Planet,PG,Animation,2002,2002-11-27,7.2,107000.0,Other,Other,Other,140000000.0,110041363.0,Other,95.0,11,210871595.330739,165747126.915564,Wednesday,Joseph Gordon-Levitt,1981-02-17,0.0,0.0,7953
2590,My Big Fat Greek Wedding,PG,Comedy,2002,2002-08-02,6.6,122000.0,Other,Other,Other,5000000.0,368744044.0,Other,95.0,8,7531128.40466926,555411748.764202,Friday,Nia Vardalos,1962-09-24,0.0,0.0,14557
2591,We Were Soldiers,R,Action,2002,2002-03-01,7.2,133000.0,Other,Other,Mel Gibson,75000000.0,115374915.0,Other,138.0,3,112966926.070039,173780659.90856,Friday,Mel Gibson,1956-01-03,0.0,0.0,16859
2592,The Sweetest Thing,R,Comedy,2002,2002-04-12,5.2,56000.0,Other,Other,Other,43000000.0,69319426.0,Columbia Pictures,84.0,4,64767704.2801557,104410699.628794,Friday,Cameron Diaz,1972-08-30,0.0,0.0,10817
2593,xXx,PG-13,Action,2002,2002-08-09,5.9,175000.0,Other,Other,Other,70000000.0,277448382.0,Other,124.0,8,105435797.66537,417899878.101946,Friday,Vin Diesel,1967-07-18,0.0,0.0,12806
2594,Equilibrium,R,Action,2002,2002-12-06,7.4,316000.0,Other,Other,Christian Bale,20000000.0,5368217.0,Other,107.0,12,30124513.618677,8085746.30622568,Friday,Christian Bale,1974-01-30,4.0,1.0,10537
2595,The Scorpion King,PG-13,Action,2002,2002-04-19,5.5,133000.0,Other,Other,Dwayne Johnson,60000000.0,180630907.0,Universal Pictures,92.0,4,90373540.8560311,272070910.893774,Friday,Dwayne Johnson,1972-05-02,0.0,0.0,10944
2596,Punch-Drunk Love,R,Comedy,2002,2002-11-01,7.3,152000.0,Other,Other,Adam Sandler,25000000.0,24675714.0,New Line Cinema,95.0,11,37655642.0233463,37167194.122179,Friday,Adam Sandler,1966-09-09,0.0,0.0,13202
2597,Die Another Day,PG-13,Action,2002,2002-11-22,6.1,209000.0,Other,Other,Other,142000000.0,431971116.0,Other,133.0,11,213884046.692607,650645988.340856,Friday,Pierce Brosnan,1953-05-16,0.0,0.0,18087
2598,The Time Machine,PG-13,Action,2002,2002-03-08,6.0,120000.0,Other,Other,Other,80000000.0,123729176.0,Warner Bros.,96.0,3,120498054.474708,186364062.371984,Friday,Guy Pearce,1967-10-05,0.0,0.0,12573
2599,The Transporter,PG-13,Action,2002,2002-10-11,6.8,290000.0,Other,Luc Besson,Other,21000000.0,43928932.0,Other,92.0,10,31630739.2996109,66166885.5143969,Friday,Jason Statham,1967-07-26,0.0,0.0,12861
2600,Blue Crush,PG-13,Drama,2002,2002-08-16,5.7,30000.0,Other,Other,Other,25000000.0,51843679.0,Universal Pictures,104.0,8,37655642.0233463,78088280.7038911,Friday,Kate Bosworth,1983-01-02,0.0,0.0,7166
2601,Ghost Ship,R,Horror,2002,2002-10-25,5.5,96000.0,Other,Other,Other,20000000.0,68349884.0,Warner Bros.,91.0,10,30124513.618677,102950350.56965,Friday,Julianna Margulies,1966-06-08,0.0,0.0,13288
2602,Van Wilder,R,Comedy,2002,2002-04-05,6.4,105000.0,Other,Other,Other,5000000.0,38275483.0,Other,92.0,4,7531128.40466926,57651515.4447471,Friday,Ryan Reynolds,1976-10-23,0.0,0.0,9295
2603,Maid in Manhattan,PG-13,Comedy,2002,2002-12-13,5.3,86000.0,Other,John Hughes,Other,55000000.0,154906693.0,Other,105.0,12,82842412.4513619,233324439.145136,Friday,Jennifer Lopez,1969-07-24,0.0,0.0,12195
2604,Spirit: Stallion of the Cimarron,G,Animation,2002,2002-05-24,7.2,69000.0,Other,Other,Matt Damon,80000000.0,122563539.0,Other,83.0,5,120498054.474708,184608349.987938,Friday,Matt Damon,1970-10-08,3.0,0.0,11551
2605,Blade II,R,Action,2002,2002-03-22,6.7,204000.0,Other,Other,Other,54000000.0,155010032.0,New Line Cinema,117.0,3,81336186.770428,233480091.000778,Friday,Wesley Snipes,1962-07-31,0.0,0.0,14479
2606,Frida,R,Biography,2002,2002-11-22,7.4,83000.0,Other,Other,Other,12000000.0,56298474.0,Other,123.0,11,18074708.1712062,84798207.3361868,Friday,Salma Hayek,1966-09-02,1.0,0.0,13230
2607,Phone Booth,R,Crime,2002,2003-04-04,7.0,255000.0,Joel Schumacher,Other,Other,13000000.0,97837138.0,Other,81.0,4,19580933.8521401,147364809.804669,Friday,Colin Farrell,1976-05-31,0.0,0.0,9804
2608,About a Boy,PG-13,Comedy,2002,2002-05-17,7.1,176000.0,Other,Other,Other,30000000.0,130549455.0,Universal Pictures,101.0,5,45186770.4280156,196636941.752918,Friday,Hugh Grant,1960-09-09,0.0,0.0,15225
2609,Confessions of a Dangerous Mind,R,Biography,2002,2003-01-24,7.0,85000.0,Other,Other,Other,30000000.0,33013805.0,Other,113.0,1,45186770.4280156,49726240.9163424,Friday,Sam Rockwell,1968-11-05,2.0,1.0,12498
2610,Kung Pow: Enter the Fist,PG-13,Action,2002,2002-01-25,6.2,44000.0,Other,Other,Other,10000000.0,16994625.0,Twentieth Century Fox,81.0,1,15062256.8093385,25597740.6128405,Friday,Steve Oedekerk,1961-11-27,0.0,0.0,14669
2611,Hero,PG-13,Action,2002,2004-08-27,7.9,176000.0,Other,Other,Other,31000000.0,177395557.0,Other,120.0,8,46692996.1089494,267197743.636965,Friday,Jet Li,1963-04-26,0.0,0.0,15099
2612,Hero,PG-13,Action,2002,2004-08-27,7.9,176000.0,Other,Other,Other,31000000.0,177395557.0,Other,120.0,8,46692996.1089494,267197743.636965,Friday,Jet Li,1963-04-26,0.0,0.0,15099
2613,Star Trek: Nemesis,PG-13,Action,2002,2002-12-13,6.4,75000.0,Other,Other,Other,60000000.0,67336470.0,Paramount Pictures,116.0,12,90373540.8560311,101423920.377432,Friday,Patrick Stewart,1940-07-13,0.0,0.0,22798
2614,Eight Legged Freaks,PG-13,Action,2002,2002-07-17,5.4,53000.0,Other,Other,Other,30000000.0,45867333.0,Warner Bros.,99.0,7,45186770.4280156,69086554.8805448,Wednesday,David Arquette,1971-09-08,0.0,0.0,11270
2615,Queen of the Damned,R,Drama,2002,2002-02-22,5.3,53000.0,Other,Other,Other,35000000.0,45479110.0,Warner Bros.,101.0,2,52717898.8326848,68501803.4280156,Friday,Aaliyah,1979-01-16,0.0,0.0,8438
2616,Femme Fatale,R,Crime,2002,2002-11-06,6.2,34000.0,Brian De Palma,Other,Other,35000000.0,16838910.0,Other,114.0,11,52717898.8326848,25363198.6809339,Wednesday,Rebecca Romijn,1972-11-06,0.0,0.0,10957
2617,The Hours,PG-13,Drama,2002,2003-02-14,7.5,127000.0,Other,Other,Meryl Streep,25000000.0,108846072.0,Paramount Pictures,110.0,2,37655642.0233463,163946748.915175,Friday,Meryl Streep,1949-06-22,21.0,3.0,19595
2618,40 Days and 40 Nights,R,Comedy,2002,2002-03-01,5.6,72000.0,Other,Other,Other,17000000.0,95146283.0,Other,96.0,3,25605836.5758755,143311774.9,Friday,Josh Hartnett,1978-07-21,0.0,0.0,8624
2619,One Hour Photo,R,Drama,2002,2002-09-13,6.8,117000.0,Other,Other,Robin Williams,12000000.0,52223306.0,Other,96.0,9,18074708.1712062,78660084.6404669,Friday,Robin Williams,1951-07-21,4.0,1.0,18682
2620,Cabin Fever,R,Horror,2002,2003-09-12,5.6,75000.0,Other,Other,Other,1500000.0,30553394.0,Other,93.0,9,2259338.52140078,46020306.6824903,Friday,Jordan Ladd,1975-01-14,0.0,0.0,10468
2621,The New Guy,PG-13,Comedy,2002,2002-05-10,5.9,34000.0,Other,Other,Other,13000000.0,31167388.0,Other,88.0,5,19580933.8521401,46945120.2132296,Friday,DJ Qualls,1978-06-10,0.0,0.0,8735
2622,Orange County,PG-13,Comedy,2002,2002-01-11,6.2,48000.0,Other,Other,Other,18000000.0,43325009.0,Paramount Pictures,82.0,1,27112062.2568093,65257241.1824903,Friday,Colin Hanks,1977-11-24,0.0,0.0,8814
2623,Mr. Deeds,PG-13,Comedy,2002,2002-06-28,5.8,138000.0,Other,Other,Adam Sandler,50000000.0,171269535.0,Columbia Pictures,96.0,6,75311284.0466926,257970571.978599,Friday,Adam Sandler,1966-09-09,0.0,0.0,13076
2624,John Q,PG-13,Crime,2002,2002-02-15,7.1,127000.0,Other,Other,Denzel Washington,36000000.0,102244770.0,New Line Cinema,116.0,2,54224124.5136187,154003698.315175,Friday,Denzel Washington,1954-12-28,9.0,2.0,17216
2625,Crossroads,PG-13,Comedy,2002,2002-02-15,3.6,39000.0,Other,Other,Other,12000000.0,61141030.0,Other,93.0,2,18074708.1712062,92092189.5447471,Friday,Britney Spears,1981-12-02,0.0,0.0,7380
2626,25th Hour,R,Drama,2002,2003-01-10,7.6,172000.0,Spike Lee,Other,Other,5000000.0,23932055.0,Other,135.0,1,7531128.40466926,36047075.8385214,Friday,Edward Norton,1969-08-18,3.0,0.0,12198
2627,Infernal Affairs,R,Action,2002,2002-12-12,8.0,120000.0,Other,Other,Other,6428966.0,8836958.0,Other,101.0,12,9683473.69105059,13310453.0809339,Thursday,Andy Lau,1961-09-27,0.0,0.0,15051
2628,Solaris,PG-13,Drama,2002,2002-11-27,6.2,80000.0,Steven Soderbergh,Other,George Clooney,47000000.0,30002758.0,Twentieth Century Fox,99.0,11,70792607.0038911,45190924.5984436,Wednesday,George Clooney,1961-05-06,4.0,1.0,15180
2629,Like Mike,PG,Comedy,2002,2002-07-03,5.3,20000.0,Other,Other,Other,30000000.0,62274780.0,Twentieth Century Fox,99.0,7,45186770.4280156,93799872.9105058,Wednesday,Shad Moss,1987-03-09,0.0,0.0,5595
2630,The Rules of Attraction,R,Comedy,2002,2002-10-11,6.6,50000.0,Other,Other,Other,4000000.0,11832822.0,Other,110.0,10,6024902.72373541,17822900.3743191,Friday,James Van Der Beek,1977-03-08,0.0,0.0,9348
2631,I Spy,PG-13,Action,2002,2002-11-01,5.4,50000.0,Other,Other,Eddie Murphy,70000000.0,51386477.0,Columbia Pictures,97.0,11,105435797.66537,77399631.3101167,Friday,Eddie Murphy,1961-04-03,1.0,0.0,15187
2632,The Mothman Prophecies,PG-13,Drama,2002,2002-01-25,6.4,77000.0,Other,Other,Richard Gere,32000000.0,55305279.0,Other,119.0,1,48199221.7898833,83302231.5210117,Friday,Richard Gere,1949-08-31,0.0,0.0,19140
2633,Antwone Fisher,PG-13,Biography,2002,2003-01-10,7.3,34000.0,Other,Other,Denzel Washington,12500000.0,23367586.0,Other,120.0,1,18827821.0116732,35196858.1346304,Friday,Denzel Washington,1954-12-28,9.0,2.0,17545
2634,The Good Girl,R,Drama,2002,2002-08-30,6.4,44000.0,Other,Other,Other,8000000.0,16860964.0,Other,93.0,8,12049805.4474708,25396416.9821012,Friday,Jennifer Aniston,1969-02-11,0.0,0.0,12253
2635,Sympathy for Mr. Vengeance,R,Crime,2002,2002-03-29,7.6,65000.0,Other,Other,Other,4000000.0,2046061.0,Other,129.0,3,6024902.72373541,3081829.6229572,Friday,Kang-ho Song,1967-01-17,0.0,0.0,12855
2636,Enough,PG-13,Crime,2002,2002-05-24,5.8,41000.0,Other,Other,Other,38000000.0,51806184.0,Columbia Pictures,115.0,5,57236575.8754864,78031804.7719844,Friday,Jennifer Lopez,1969-07-24,0.0,0.0,11992
2637,High Crimes,PG-13,Crime,2002,2002-04-05,6.4,40000.0,Other,Other,Other,42000000.0,63781810.0,Twentieth Century Fox,115.0,4,63261478.5992218,96069800.1984436,Friday,Jim Caviezel,1968-09-26,0.0,0.0,12244
2638,Two Weeks Notice,PG-13,Comedy,2002,2002-12-20,6.1,111000.0,Other,Other,Sandra Bullock,60000000.0,199043471.0,Other,101.0,12,90373540.8560311,299804387.642412,Friday,Sandra Bullock,1964-07-26,2.0,1.0,14026
2639,Death to Smoochy,R,Comedy,2002,2002-03-29,6.3,39000.0,Other,Other,Robin Williams,50000000.0,8382938.0,Warner Bros.,109.0,3,75311284.0466926,12626596.4972763,Friday,Robin Williams,1951-07-21,4.0,1.0,18514
2640,The Four Feathers,PG-13,Action,2002,2002-09-20,6.5,33000.0,Other,Other,Other,35000000.0,29882645.0,Paramount Pictures,132.0,9,52717898.8326848,45010007.3132296,Friday,Heath Ledger,1979-04-04,2.0,1.0,8570
2641,Better Luck Tomorrow,R,Crime,2002,2003-04-25,7.0,9400.0,Other,Other,Other,250000.0,3809226.0,Other,101.0,4,376556.420233463,5737554.02568093,Friday,Parry Shen,1973-06-26,0.0,0.0,10895
2642,Big Fat Liar,PG,Adventure,2002,2002-02-08,5.5,36000.0,Other,Other,Other,15000000.0,52970014.0,Paramount Pictures,88.0,2,22593385.2140078,79784795.4062257,Friday,Frankie Muniz,1985-12-05,0.0,0.0,5909
2643,About Schmidt,R,Comedy,2002,2003-01-03,7.1,124000.0,Other,Other,Other,30000000.0,105834556.0,New Line Cinema,125.0,1,45186770.4280156,159410726.177432,Friday,Jack Nicholson,1937-04-22,12.0,3.0,23997
2644,The Master of Disguise,PG,Adventure,2002,2002-08-02,3.3,23000.0,Other,Other,Other,16000000.0,43411001.0,Other,80.0,8,24099610.8949416,65386764.5412451,Friday,Dana Carvey,1955-06-02,0.0,0.0,17228
2645,Drumline,PG-13,Comedy,2002,2002-12-13,5.9,34000.0,Other,Other,Other,20000000.0,57588485.0,Other,118.0,12,30124513.618677,86741255.0330739,Friday,Nick Cannon,1980-10-08,0.0,0.0,8101
2646,Halloween: Resurrection,R,Horror,2002,2002-07-12,4.0,39000.0,Other,Other,Other,13000000.0,37664855.0,Other,94.0,7,19580933.8521401,56731771.8696498,Friday,Jamie Lee Curtis,1958-11-22,0.0,0.0,15938
2647,Windtalkers,R,Action,2002,2002-06-14,6.1,67000.0,Other,Other,Nicolas Cage,115000000.0,77628265.0,Metro-Goldwyn-Mayer (MGM),134.0,6,173215953.307393,116925686.309339,Friday,Nicolas Cage,1964-01-07,2.0,1.0,14038
2648,Friday After Next,R,Comedy,2002,2002-11-22,5.8,26000.0,Other,Other,Other,10000000.0,33526835.0,Other,85.0,11,15062256.8093385,50498979.8774319,Friday,Ice Cube,1969-06-15,0.0,0.0,12213
2649,Eye See You,R,Crime,2002,2002-01-17,5.3,25000.0,Other,Other,Sylvester Stallone,55000000.0,6632383.0,Universal Pictures,96.0,1,82842412.4513619,9989865.60038911,Thursday,Sylvester Stallone,1946-07-06,2.0,0.0,20284
2650,Undercover Brother,PG-13,Action,2002,2002-05-31,5.9,34000.0,Other,Other,Other,25000000.0,41604473.0,Universal Pictures,86.0,5,37655642.0233463,62665725.6743191,Friday,Eddie Griffin,1968-07-15,0.0,0.0,12373
2651,Spy Kids 2: Island of Lost Dreams,PG,Action,2002,2002-08-07,5.2,62000.0,Other,Robert Rodriguez,Other,38000000.0,119723358.0,Other,100.0,8,57236575.8754864,180330396.427237,Wednesday,Alexa PenaVega,1988-08-27,0.0,0.0,5093
2652,Tuck Everlasting,PG,Drama,2002,2002-10-11,6.6,22000.0,Other,Other,Other,15000000.0,19344615.0,Walt Disney Pictures,90.0,10,22593385.2140078,29137355.9007782,Friday,Alexis Bledel,1981-09-16,0.0,0.0,7695
2653,The Rookie,G,Drama,2002,2002-03-29,6.9,33000.0,Other,Other,Other,22000000.0,80693537.0,Other,127.0,3,33136964.9805447,121542677.714786,Friday,Dennis Quaid,1954-04-09,0.0,0.0,17521
2654,The Rookie,G,Drama,2002,2002-03-29,6.9,33000.0,Other,Other,Other,22000000.0,80693537.0,Other,127.0,3,33136964.9805447,121542677.714786,Friday,Dennis Quaid,1954-04-09,0.0,0.0,17521
2655,Murder by Numbers,R,Crime,2002,2002-04-19,6.2,54000.0,Other,Other,Sandra Bullock,50000000.0,56714147.0,Warner Bros.,115.0,4,75311284.0466926,85424304.6836576,Friday,Sandra Bullock,1964-07-26,2.0,1.0,13781
2656,Hart's War,R,Drama,2002,2002-02-15,6.3,51000.0,Other,Other,Bruce Willis,70000000.0,32287044.0,Other,125.0,2,105435797.66537,48631574.8342412,Friday,Bruce Willis,1955-03-19,0.0,0.0,17135
2657,Swept Away,R,Comedy,2002,2002-10-11,3.6,16000.0,Other,Other,Other,10000000.0,1036520.0,Other,89.0,10,15062256.8093385,1561233.04280156,Friday,Madonna,1958-08-16,0.0,0.0,16127
2658,May,R,Comedy,2002,2003-04-11,6.6,34000.0,Other,Other,Other,500000.0,264349.0,Other,93.0,4,753112.840466926,398169.252529183,Friday,Angela Bettis,1973-01-09,0.0,0.0,11049
2659,Dragonfly,PG-13,Drama,2002,2002-02-22,6.1,37000.0,Other,Other,Kevin Costner,60000000.0,52323400.0,Universal Pictures,104.0,2,90373540.8560311,78810848.7937743,Friday,Kevin Costner,1955-01-18,1.0,0.0,17202
2660,Juwanna Mann,PG-13,Comedy,2002,2002-06-21,4.6,6400.0,Other,Other,Other,15600000.0,13802599.0,Other,91.0,6,23497120.6225681,20789829.0774319,Friday,Miguel A. Núñez Jr.,1964-08-11,0.0,0.0,13828
2661,Divine Secrets of the Ya-Ya Sisterhood,PG-13,Drama,2002,2002-06-07,6.1,19000.0,Other,Other,Sandra Bullock,27000000.0,73839240.0,Other,116.0,6,40668093.385214,111218559.548638,Friday,Sandra Bullock,1964-07-26,2.0,1.0,13830
2662,Dirty Pretty Things,R,Crime,2002,2003-09-05,7.3,41000.0,Other,Other,Other,10000000.0,13904766.0,Other,97.0,9,15062256.8093385,20943715.6365759,Friday,Chiwetel Ejiofor,1977-07-10,1.0,0.0,9553
2663,The Tuxedo,PG-13,Action,2002,2002-09-27,5.4,81000.0,Other,Other,Other,60000000.0,104391623.0,Other,98.0,9,90373540.8560311,157237343.436965,Friday,Jackie Chan,1954-04-07,0.0,0.0,17705
2664,Swimfan,PG-13,Drama,2002,2002-09-06,5.1,19000.0,Other,Other,Other,10000000.0,34411240.0,Twentieth Century Fox,85.0,9,15062256.8093385,51831093.4007782,Friday,Jesse Bradford,1979-05-28,0.0,0.0,8502
2665,Serving Sara,PG-13,Comedy,2002,2002-08-23,5.3,17000.0,Other,Other,Other,29000000.0,20146150.0,Other,99.0,8,43680544.7470817,30344648.5019455,Friday,Matthew Perry,1969-08-19,0.0,0.0,12057
2666,K-19: The Widowmaker,PG-13,Drama,2002,2002-07-19,6.7,61000.0,Other,Other,Harrison Ford,100000000.0,65716126.0,Other,138.0,7,150622568.093385,98983316.6326848,Friday,Harrison Ford,1942-07-13,1.0,0.0,21921
2667,Stuart Little 2,PG,Animation,2002,2002-07-19,5.5,51000.0,Other,Other,Other,120000000.0,169956806.0,Columbia Pictures,77.0,7,180747081.712062,255993305.846693,Friday,Michael J. Fox,1961-06-09,0.0,0.0,15015
2668,Igby Goes Down,R,Comedy,2002,2002-10-04,6.9,32000.0,Other,Other,Other,9000000.0,6919198.0,Other,98.0,10,13556031.1284047,10421873.7190661,Friday,Kieran Culkin,1982-09-30,0.0,0.0,7309
2669,Rollerball,PG-13,Action,2002,2002-02-08,3.1,26000.0,Other,Other,Other,70000000.0,25852764.0,Other,98.0,2,105435797.66537,38940097.0599222,Friday,Chris Klein,1979-03-14,0.0,0.0,8367
2670,Changing Lanes,R,Drama,2002,2002-04-12,6.5,68000.0,Other,Other,Ben Affleck,45000000.0,94935764.0,Paramount Pictures,98.0,4,67780155.6420234,142994685.775875,Friday,Ben Affleck,1972-08-15,0.0,0.0,10832
2671,White Oleander,PG-13,Drama,2002,2002-10-11,7.1,30000.0,Other,Other,Other,16000000.0,21672284.0,Warner Bros.,109.0,10,24099610.8949416,32643350.7252918,Friday,Michelle Pfeiffer,1958-04-29,3.0,0.0,16236
2672,Below,R,Action,2002,2002-10-18,6.2,21000.0,Other,Other,Other,40000000.0,2622015.0,Other,105.0,10,60249027.2373541,3949346.32879377,Friday,Bruce Greenwood,1956-08-12,0.0,0.0,16868
2673,Big Trouble,PG-13,Comedy,2002,2002-04-05,6.5,20000.0,Other,Other,Other,40000000.0,8493890.0,Touchstone Pictures,85.0,4,60249027.2373541,12793715.2490272,Friday,Tim Allen,1953-06-13,0.0,0.0,17828
2674,Far from Heaven,PG-13,Drama,2002,2003-01-10,7.4,45000.0,Other,Other,Other,13500000.0,29027914.0,Other,107.0,1,20334046.692607,43722589.5307393,Friday,Julianne Moore,1960-12-03,5.0,1.0,15378
2675,Bubba Ho-Tep,R,Comedy,2002,2003-10-10,7.0,47000.0,Other,Other,Other,1000000.0,1239183.0,Other,92.0,10,1506225.68093385,1866489.25797665,Friday,Bruce Campbell,1958-06-22,0.0,0.0,16546
2676,S1m0ne,PG-13,Comedy,2002,2002-08-23,6.1,59000.0,Other,Other,Al Pacino,10000000.0,19576023.0,New Line Cinema,117.0,8,15062256.8093385,29485908.5731518,Friday,Al Pacino,1940-04-25,9.0,1.0,22765
2677,Auto Focus,R,Biography,2002,2002-11-01,6.6,13000.0,Other,Other,Other,7000000.0,2704951.0,Other,105.0,11,10543579.766537,4074266.6618677,Friday,Greg Kinnear,1963-06-17,1.0,0.0,14382
2678,Blood Work,R,Action,2002,2002-08-09,6.4,43000.0,Clint Eastwood,Other,Clint Eastwood,50000000.0,31794718.0,Other,110.0,8,75311284.0466926,47890020.7696498,Friday,Clint Eastwood,1930-05-31,2.0,0.0,26368
2679,Collateral Damage,R,Action,2002,2002-02-08,5.5,73000.0,Other,Other,Arnold Schwarzenegger,85000000.0,78382433.0,Warner Bros.,108.0,2,128029182.879377,118061633.518677,Friday,Arnold Schwarzenegger,1947-07-30,0.0,0.0,19917
2680,Undisputed,R,Action,2002,2002-08-23,6.2,30000.0,Walter Hill,Other,Other,20000000.0,14946150.0,Other,94.0,8,30124513.618677,22512274.9610895,Friday,Wesley Snipes,1962-07-31,0.0,0.0,14633
2681,The Salton Sea,R,Crime,2002,2002-06-21,7.1,30000.0,Other,Other,Other,18000000.0,1073198.0,Other,103.0,6,27112062.2568093,1616478.38832685,Friday,Val Kilmer,1959-12-31,0.0,0.0,15513
2682,Ju-on: The Grudge,R,Horror,2002,2003-01-25,6.7,42000.0,Other,Other,Other,3500000.0,3657876.0,Other,92.0,1,5271789.88326848,5509586.7688716,Saturday,Megumi Okina,1979-08-06,0.0,0.0,8573
2683,Barbershop,PG-13,Comedy,2002,2002-09-13,6.3,30000.0,Other,Other,Other,12000000.0,77063924.0,Metro-Goldwyn-Mayer (MGM),102.0,9,18074708.1712062,116075661.402335,Friday,Ice Cube,1969-06-15,0.0,0.0,12143
2684,Whale Rider,PG-13,Drama,2002,2003-08-29,7.5,40000.0,Other,Other,Other,3500000.0,41062976.0,Other,101.0,8,5271789.88326848,61850108.9867704,Friday,Keisha Castle-Hughes,1990-03-24,1.0,0.0,4906
2685,Rabbit-Proof Fence,PG,Adventure,2002,2003-01-31,7.4,28000.0,Other,Other,Other,6000000.0,16217411.0,Other,94.0,1,9037354.08560311,24427080.9264591,Friday,Everlyn Sampi,1988-10-06,0.0,0.0,5230
2686,Trapped,R,Action,2002,2002-09-20,6.2,23000.0,Other,Other,Other,30000000.0,13414416.0,Columbia Pictures,106.0,9,45186770.4280156,20205137.87393,Friday,Kevin Bacon,1958-07-08,0.0,0.0,16145
2687,Narc,R,Crime,2002,2003-01-10,7.1,39000.0,Other,Other,Other,6500000.0,12633747.0,Paramount Pictures,105.0,1,9790466.92607004,19029274.177821,Friday,Ray Liotta,1954-12-18,0.0,0.0,17555
2688,Dark Blue,R,Crime,2002,2003-02-21,6.6,21000.0,Other,Other,Other,15000000.0,12150301.0,Other,118.0,2,22593385.2140078,18301095.3972763,Friday,Kurt Russell,1951-03-17,0.0,0.0,18969
2689,Dahmer,R,Biography,2002,2019-01-01,5.6,9700.0,Other,Other,Other,250000.0,144008.0,Other,101.0,1,376556.420233463,216908.547859922,Tuesday,Jeremy Renner,1971-01-07,2.0,0.0,17526
2690,Boat Trip,R,Comedy,2002,2003-03-21,4.9,31000.0,Other,Other,Other,20000000.0,15020293.0,Other,94.0,3,30124513.618677,22623951.051751,Friday,Cuba Gooding Jr.,1968-01-02,1.0,1.0,12862
2691,Nicholas Nickleby,PG,Adventure,2002,2003-06-27,7.1,12000.0,Other,Other,Other,10000000.0,3651462.0,Other,132.0,6,15062256.8093385,5499925.83735409,Friday,Charlie Hunnam,1980-04-10,0.0,0.0,8478
2692,Bad Company,PG-13,Action,2002,2002-06-07,5.6,45000.0,Joel Schumacher,Other,Other,70000000.0,66200782.0,Touchstone Pictures,116.0,6,105435797.66537,99713317.9463035,Friday,Anthony Hopkins,1937-12-31,6.0,2.0,23534
2693,Bad Company,PG-13,Action,2002,2002-06-07,5.6,45000.0,Joel Schumacher,Other,Other,70000000.0,66200782.0,Touchstone Pictures,116.0,6,105435797.66537,99713317.9463035,Friday,Anthony Hopkins,1937-12-31,6.0,2.0,23534
2694,Spider,R,Drama,2002,2002-11-13,6.8,36000.0,Other,Other,Other,10000000.0,5808941.0,Other,98.0,11,15062256.8093385,8749576.11322957,Wednesday,Ralph Fiennes,1962-12-22,2.0,0.0,14571
2695,Snow Dogs,PG,Adventure,2002,2002-01-18,5.2,26000.0,Other,Other,Other,33000000.0,115035090.0,Walt Disney Pictures,99.0,1,49705447.4708171,173268806.766537,Friday,Cuba Gooding Jr.,1968-01-02,1.0,1.0,12435
2696,The Quiet American,R,Drama,2002,2003-03-07,7.1,27000.0,Other,Other,Other,30000000.0,27674124.0,Other,101.0,3,45186770.4280156,41683476.2661479,Friday,Michael Caine,1933-03-14,6.0,2.0,25560
2697,The Santa Clause 2,G,Comedy,2002,2002-11-01,5.7,52000.0,Other,Other,Other,65000000.0,172855065.0,Walt Disney Pictures,104.0,11,97904669.2607004,260358737.98249,Friday,Tim Allen,1953-06-13,0.0,0.0,18038
2698,Slackers,R,Comedy,2002,2002-02-01,5.4,14000.0,Other,Other,Other,14000000.0,6413915.0,Other,86.0,2,21087159.5330739,9660803.48832685,Friday,Devon Sawa,1978-09-07,0.0,0.0,8548
2699,Sorority Boys,R,Comedy,2002,2002-03-22,5.5,14000.0,Other,Other,Other,12000000.0,12517488.0,Other,93.0,3,18074708.1712062,18854161.8863813,Friday,Barry Watson,1974-04-23,0.0,0.0,10195
2700,The Country Bears,G,Comedy,2002,2002-07-26,4.2,5200.0,Other,Other,Other,35000000.0,18012097.0,Walt Disney Pictures,88.0,7,52717898.8326848,27130283.0688716,Friday,Haley Joel Osment,1988-04-10,1.0,0.0,5220
2701,All About the Benjamins,R,Action,2002,2002-03-08,5.9,13000.0,Other,Other,Other,15000000.0,26306533.0,New Line Cinema,95.0,3,22593385.2140078,39623575.5809339,Friday,Ice Cube,1969-06-15,0.0,0.0,11954
2702,Abandon,PG-13,Drama,2002,2002-10-18,4.9,9400.0,Other,Other,Other,25000000.0,12302219.0,Paramount Pictures,99.0,10,37655642.0233463,18529918.1902724,Friday,Katie Holmes,1978-12-18,0.0,0.0,8705
2703,Gerry,R,Adventure,2002,2002-09-20,6.1,18000.0,Other,Other,Other,3500000.0,254683.0,Other,103.0,9,5271789.88326848,383610.075097276,Friday,Casey Affleck,1975-08-12,2.0,1.0,9901
2704,Clockstoppers,PG,Action,2002,2002-03-29,5.2,14000.0,Other,Other,Other,26000000.0,38793283.0,Paramount Pictures,94.0,3,39161867.7042802,58431439.1023346,Friday,Jesse Bradford,1979-05-28,0.0,0.0,8341
